Nom de fichier	Chemin	voyageId	Pays	Ville	Lieu	Date Événement	datePage	Légende
0059_3.4.jpg	D:\TDM\0001_jordanie20010205\0005_mer morte\2001-02-07\0059_3.4.jpg	jordanie20010205	Jordanie	mer morte	-	07/02/2001	-	-
0060_3.3.jpg	D:\TDM\0001_jordanie20010205\0005_mer morte\2001-02-07\0060_3.3.jpg	jordanie20010205	Jordanie	mer morte	-	07/02/2001	-	-
0061_3.2.jpg	D:\TDM\0001_jordanie20010205\0005_mer morte\2001-02-07\0061_3.2.jpg	jordanie20010205	Jordanie	mer morte	-	07/02/2001	-	-
0062_3.1.jpg	D:\TDM\0001_jordanie20010205\0005_mer morte\2001-02-07\0062_3.1.jpg	jordanie20010205	Jordanie	mer morte	-	07/02/2001	-	-
0063_4A.16.jpg	D:\TDM\0001_jordanie20010205\0005_mer morte\2001-02-07\0063_4A.16.jpg	jordanie20010205	Jordanie	mer morte	-	07/02/2001	-	-
0064_4A.17.jpg	D:\TDM\0001_jordanie20010205\0005_mer morte\2001-02-07\0064_4A.17.jpg	jordanie20010205	Jordanie	mer morte	-	07/02/2001	-	-
0065_4A.18.jpg	D:\TDM\0001_jordanie20010205\0005_mer morte\2001-02-07\0065_4A.18.jpg	jordanie20010205	Jordanie	mer morte	-	07/02/2001	-	-
0066_4A.19.jpg	D:\TDM\0001_jordanie20010205\0005_mer morte\2001-02-07\0066_4A.19.jpg	jordanie20010205	Jordanie	mer morte	-	07/02/2001	-	-
0067_4A.20.jpg	D:\TDM\0001_jordanie20010205\0005_mer morte\2001-02-07\0067_4A.20.jpg	jordanie20010205	Jordanie	mer morte	-	07/02/2001	-	-
0068_4A.21.jpg	D:\TDM\0001_jordanie20010205\0006_Amman\2001-02-07\0068_4A.21.jpg	jordanie20010205	Jordanie	Amman	-	07/02/2001	-	-
0069_4A.22.jpg	D:\TDM\0001_jordanie20010205\0006_Amman\2001-02-08\0069_4A.22.jpg	jordanie20010205	Jordanie	Amman	-	08/02/2001	-	-
0070_4A.23.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-09\0070_4A.23.jpg	jordanie20010205	Jordanie	Aquaba	-	09/02/2001	-	-
0071_4A.24.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-09\0071_4A.24.jpg	jordanie20010205	Jordanie	Aquaba	-	09/02/2001	-	-
0072_5.24.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-09\0072_5.24.jpg	jordanie20010205	Jordanie	Aquaba	-	09/02/2001	11/02/2001	Murène
0073_5.23.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-09\0073_5.23.jpg	jordanie20010205	Jordanie	Aquaba	-	09/02/2001	11/02/2001	Anémone et son poisson clown
0074_5.22.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-09\0074_5.22.jpg	jordanie20010205	Jordanie	Aquaba	-	09/02/2001	11/02/2001	Picasso
0075_5.21.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-09\0075_5.21.jpg	jordanie20010205	Jordanie	Aquaba	-	09/02/2001	11/02/2001	-
0076_5.20.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-09\0076_5.20.jpg	jordanie20010205	Jordanie	Aquaba	-	09/02/2001	11/02/2001	-
0077_5.19.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-09\0077_5.19.jpg	jordanie20010205	Jordanie	Aquaba	-	09/02/2001	-	Vue de la ville, Israël en face
0078_5.18.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-09\0078_5.18.jpg	jordanie20010205	Jordanie	Aquaba	-	09/02/2001	-	La nuit
0079_4A.25.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-10\0079_4A.25.jpg	jordanie20010205	Jordanie	Aquaba	-	10/02/2001	-	-
0080_5.17.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-10\0080_5.17.jpg	jordanie20010205	Jordanie	Aquaba	-	10/02/2001	-	Le port
0081_5.16.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-10\0081_5.16.jpg	jordanie20010205	Jordanie	Aquaba	-	10/02/2001	-	Le port
0082_5.15.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-10\0082_5.15.jpg	jordanie20010205	Jordanie	Aquaba	-	10/02/2001	-	Le thé sur la plage
0083_5.14.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-10\0083_5.14.jpg	jordanie20010205	Jordanie	Aquaba	-	10/02/2001	-	Le thé sur la plage
0084_7A.0.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-11\0084_7A.0.jpg	jordanie20010205	Jordanie	Aquaba	-	11/02/2001	-	-
0085_7A.1.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-11\0085_7A.1.jpg	jordanie20010205	Jordanie	Aquaba	-	11/02/2001	-	-
0086_7A.2.jpg	D:\TDM\0001_jordanie20010205\0007_Aquaba\2001-02-11\0086_7A.2.jpg	jordanie20010205	Jordanie	Aquaba	-	11/02/2001	-	-
